original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
12759,['2007-09-20'],['p'],['2025-05-15'],['tamansari'],['sma / lainnya'],['mipa'],['2025.0'],['menggambar'],['rp 2.500.001 - rp 5.000.000'],['pengusaha'],['di dalam negeri'],['cikarang'],['17'],['bisnis/wirausaha'],['cikarang'],['menggambar']
12760,['2005-01-29'],['p'],['2025-05-19'],['bungursari'],['smk'],['disain grafis'],['2024.0'],['mengedit video'],['rp 2.500.001 - rp 5.000.000'],['pramuniaga'],['di dalam negeri'],['bandung'],['20'],['sales/marketing'],['bandung'],"['editing', 'editing video']"
12761,['2006-02-08'],['p'],['2025-05-16'],['kawalu'],['sma / lainnya'],['ips'],['2025.0'],[],['rp 2.500.001 - rp 5.000.000'],['administrasi'],['di dalam negeri'],['purwakarta/ bandung'],['19'],['administrasi/staf umum'],"['bandung', 'purwakarta']",[]
12762,['2006-08-13'],['p'],['2025-05-16'],['kawalu'],['sma / lainnya'],['ips'],['2025.0'],['kerja sama'],['rp 2.500.001 - rp 5.000.000'],['admin'],['di dalam negeri'],['purwakarta'],['18'],['administrasi/staf umum'],['purwakarta'],['kerja sama tim']
12763,['2006-09-12'],['l'],['2025-05-16'],['purbaratu'],['smk'],['rekayasa perangkat lunak'],['2025.0'],['olahraga'],['rp 2.500.001 - rp 5.000.000'],['karyawan'],['di dalam negeri'],['tasikmalaya dan di luar tasikmalaya'],['18'],['pekerja umum'],['tasikmalaya'],['olahraga']
12764,['2006-12-09'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik komputer  jaringan'],['2025.0'],['mampu bersosialisasi dengan baik'],['rp 5.000.001 - rp 10.000.000'],['manager'],['di dalam negeri'],['bekasi'],['18'],['manajemen/direksi'],['bekasi'],['kecerdasan emosional']
12765,['2006-07-18'],['l'],['2025-05-16'],['bungursari'],['smk'],['teknik komputer jaringan'],['2025.0'],['olahraga'],['rp 5.000.001 - rp 10.000.000'],['manager'],['di dalam negeri'],['karawanh'],['18'],['manajemen/direksi'],['lokasi tidak spesifik'],['olahraga']
12766,['2005-09-09'],['p'],['2025-05-16'],['cihideung'],['sma / lainnya'],['mipa'],['2023.0'],['publik speaking'],['rp 5.000.001 - rp 10.000.000'],['operator produksi'],['di dalam negeri'],['bekasi'],['19'],['produksi/operasional'],['bekasi'],['public speaking']
12767,['2006-09-30'],['p'],['2025-05-16'],['cipedes'],['smk'],['manajemen perkantoran'],['2025.0'],['pelayanan pelanggan'],['rp 1.000.001 - rp 2.500.000'],['customer services'],['di dalam negeri'],['tasikmalaya'],['18'],['customer service/telemarketing'],['tasikmalaya'],['pelayanan pelanggan']
12768,['2006-08-26'],['p'],['2025-05-16'],['cipedes'],['smk'],['manajemen perkantoran'],['2025.0'],['pelayanan pelanggan'],['rp 1.000.001 - rp 2.500.000'],['customer service'],['di dalam negeri'],['tasikmalaya'],['18'],['customer service/telemarketing'],['tasikmalaya'],['pelayanan pelanggan']
12769,['2006-05-16'],['l'],['2025-05-16'],['indihiang'],['smk'],['multimedia'],['2025.0'],['fotografi'],['rp 2.500.001 - rp 5.000.000'],['pekerja'],['di dalam negeri'],"['bandung,tasikmalaya']",['19'],['pekerja umum'],"['bandung', 'tasikmalaya']",['editing foto']
12770,['2006-06-02'],['p'],['2025-05-19'],['kawalu'],['smk'],['rekayasa perangkat lunak'],['2025.0'],['mampu bekerja tim'],['rp 2.500.001 - rp 5.000.000'],['pegawai'],['di dalam negeri'],"['brebes, jawa tengah']",['18'],['pekerja umum'],"['brebes', 'jawa tengah']",['kerja sama tim']
12771,['2006-05-08'],['p'],['2025-05-19'],['tamansari'],['smk'],['rekayasa perangkat lunak'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['pegawai'],['di dalam negeri'],['brebes'],['19'],['pekerja umum'],['brebes'],[]
12772,['2005-07-11'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['-'],['di dalam negeri'],['-'],['19'],[],['lokasi tidak spesifik'],[]
12773,['2005-10-12'],['l'],['2025-05-16'],['kawalu'],['smk'],['teknik kendaraan ringan'],['2025.0'],['-'],['rp 5.000.001 - rp 10.000.000'],['-'],['di dalam negeri'],['-'],['19'],[],['lokasi tidak spesifik'],[]
12774,['2006-10-29'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['-'],['di dalam negeri'],['-'],['18'],[],['lokasi tidak spesifik'],[]
12775,['2006-03-29'],['l'],['2025-05-16'],['cihideung'],['smk'],['rekayasa perangkat lunak'],['2025.0'],"['olahraga,bussinis']",['rp 5.000.001 - rp 10.000.000'],['manager'],['di dalam negeri'],['jawa barat'],['19'],['manajemen/direksi'],['jawa barat'],['olahraga']
12776,['2007-08-07'],['l'],['2025-05-16'],['cihideung'],['smk'],['teknik kendaraan ringan'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['-'],['di dalam negeri'],['-'],['17'],[],['lokasi tidak spesifik'],[]
12777,['2007-08-25'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik sepeda motor'],['2025.0'],['-'],['rp 2.500.001 - rp 5.000.000'],['-'],['di dalam negeri'],['-'],['17'],[],['lokasi tidak spesifik'],[]
12778,['2007-06-12'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],"['publik speaking , otomotif']",['rp 2.500.001 - rp 5.000.000'],"['karyawan,operator produksi,crew store,kasir pramuniaga']",['di dalam negeri'],['jawa barat'],['17'],['pekerja umum'],['jawa barat'],"['otomotif', 'public speaking']"
12779,['2007-06-12'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],"['publik speaking , otomotif']",['rp 2.500.001 - rp 5.000.000'],"['karyawan,operator produksi,crew store,kasir pramuniaga']",['di dalam negeri'],['jawa barat'],['17'],['produksi/operasional'],['jawa barat'],"['otomotif', 'public speaking']"
12780,['2007-06-12'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],"['publik speaking , otomotif']",['rp 2.500.001 - rp 5.000.000'],"['karyawan,operator produksi,crew store,kasir pramuniaga']",['di dalam negeri'],['jawa barat'],['17'],['pekerja umum'],['jawa barat'],"['otomotif', 'public speaking']"
12781,['2007-06-12'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['teknik kendaraan ringan'],['2025.0'],"['publik speaking , otomotif']",['rp 2.500.001 - rp 5.000.000'],"['karyawan,operator produksi,crew store,kasir pramuniaga']",['di dalam negeri'],['jawa barat'],['17'],['keuangan/akuntansi/perbankan'],['jawa barat'],"['otomotif', 'public speaking']"
12782,['2006-11-04'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['rekayasa perangkat lunak'],['2025.0'],"['mengelola database,public speaking']",['rp 2.500.001 - rp 5.000.000'],"['customer servis,operator produksi,crew store,kasir']",['di dalam negeri'],['jawa barat'],['18'],['customer service/telemarketing'],['jawa barat'],['public speaking']
12783,['2006-11-04'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['rekayasa perangkat lunak'],['2025.0'],"['mengelola database,public speaking']",['rp 2.500.001 - rp 5.000.000'],"['customer servis,operator produksi,crew store,kasir']",['di dalam negeri'],['jawa barat'],['18'],['produksi/operasional'],['jawa barat'],['public speaking']
12784,['2006-11-04'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['rekayasa perangkat lunak'],['2025.0'],"['mengelola database,public speaking']",['rp 2.500.001 - rp 5.000.000'],"['customer servis,operator produksi,crew store,kasir']",['di dalam negeri'],['jawa barat'],['18'],['pekerja umum'],['jawa barat'],['public speaking']
